Time,FileName,DocumentID,RESULT,Description
"14:14:21","STR091094005107900108000820081125107.xml ","000820081125107","99","발송증서수신성공"
"14:14:30","STR091094005107900108000820081125107.xml ","000820081125107","99","발송증서수신성공"
"14:14:40","STR091094005107900108000820081125107.xml ","000820081125107","99","발송증서수신성공"
"14:14:50","STR091094005107900108000820081125107.xml ","000820081125107","99","발송증서수신성공"
"14:15:00","STR091094005107900108000820081125107.xml ","000820081125107","99","발송증서수신성공"
"14:15:10","STR091094005107900108000820081125107.xml ","000820081125107","99","발송증서수신성공"
"14:15:20","STR091094005107900108000820081125107.xml ","000820081125107","99","발송증서수신성공"
"14:15:30","STR091094005107900108000820081125107.xml ","000820081125107","99","발송증서수신성공"
"14:15:40","STR091094005107900108000820081125107.xml ","000820081125107","99","발송증서수신성공"
"14:15:50","STR091094005107900108000820081125107.xml ","000820081125107","99","발송증서수신성공"
"14:16:00","STR091094005107900108000820081125107.xml ","000820081125107","99","발송증서수신성공"
"14:16:10","STR091094005107900108000820081125107.xml ","000820081125107","99","발송증서수신성공"
"14:16:20","STR091094005107900108000820081125107.xml ","000820081125107","99","발송증서수신성공"
